id,text,aspect,sentiment
3205,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",service,positive
3205,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",ambiance,positive
3205,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",location,positive
811,The place was real empty but that was because this was the first Sunday they ever opened.,place,negative
346,This place is not worth the prices.,prices,negative
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative
1231,Pick a bagel has the best bagels in the city.,bagels,positive
45,Ive been here a bunch of times now and the service is always outstanding.,service,positive
1215,"Great bagels, spreads and a good place to hang out in.",bagels,positive
1215,"Great bagels, spreads and a good place to hang out in.",spreads,positive
2649,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,dinner meeting,neutral
1709,"Unfortunately, the food was NOT something to get worked up about.",food,negative
1691,Good food.,food,positive
2734,"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",Italian food,positive
2734,"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",service,conflict
351,Try sushimi cucumber roll.,sushimi cucumber roll,positive
280,The food is delicious and beautifully prepared along with the friendly and personable service.,food,positive
280,The food is delicious and beautifully prepared along with the friendly and personable service.,service,positive
1942,Our waiter and all of the people helping him were attentive and genuine.,waiter,positive
1702,The food is reliable and the price is moderate.,food,positive
1702,The food is reliable and the price is moderate.,price,neutral
3002,"More important, the sushi rivals the best in Tokyo.",sushi,positive
3647,We were seated and ignored by waitstaff.,waitstaff,negative
3361,The rest of the menu is limited by everything is good eats.,menu,conflict
3361,The rest of the menu is limited by everything is good eats.,eats,positive
116,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,positive
116,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",wine,positive
116,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",prices,positive
2893,"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",staff,positive
2884,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window.",food,positive
2884,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window.",ambience,positive
428,"In an area sadly lacking in decent Thai food, this is one of the best spots.",Thai food,positive
3241,But the main hit was the whole grilled fish.,whole grilled fish,positive
1294,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,spinach mushroom calzone,negative
1294,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,canned vegetables,negative
2114,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",appetizers,neutral
2077,very good breads as well.,breads,positive
2089,"Excellent dumplings served amid clean, chic decor.",dumplings,positive
2089,"Excellent dumplings served amid clean, chic decor.",decor,positive
3049,The food was lousy - too sweet or too salty and the portions tiny.,food,negative
3049,The food was lousy - too sweet or too salty and the portions tiny.,portions,negative
3409,"But after last night, Spice Grill is the only place I'm eating indian cuisine.",indian cuisine,positive
924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,positive
924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,positive
763,"We were seated promptly as we had reservations, however after that the service was slow.",reservations,positive
763,"We were seated promptly as we had reservations, however after that the service was slow.",service,negative
3201,The service was excellent and the food was delicious.,service,positive
3201,The service was excellent and the food was delicious.,food,positive
1003,Wonderful strawberry daiquiries as well!,strawberry daiquiries,positive
2512,"good music, great food, speedy service affordable prices.",music,positive
2512,"good music, great food, speedy service affordable prices.",food,positive
2512,"good music, great food, speedy service affordable prices.",service,positive
2512,"good music, great food, speedy service affordable prices.",prices,positive
2461,IT IS WHAT MODERN CUISINE IS ALL ABOUT.,CUISINE,positive
1930,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",dessert,neutral
1930,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,positive
1540,They showed up 15 minutes after the tuna melt.,tuna,positive
2939,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,food,positive
2939,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,quality of food,positive
2939,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,priced,neutral
1095,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,quality of food,positive
1095,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,live jazz,positive
887,What came to our table was burned beyond recognition and stringy.,table,neutral
1677,"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",wait staff,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral
1010,And the bill was outragous.,bill,negative
2472,If you go here - your focus should be the Tamarind Margaritas.,Tamarind Margaritas,positive
1835,"Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.",workers,negative
1835,"Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.",order,negative
1077,"A cheap eat for NYC, but not for dosa.",dosa,negative
1077,"A cheap eat for NYC, but not for dosa.",eat,positive
609,Really cool stauff inside.,stauff,positive
2516,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights.",Jazz,positive
2205,The food is usually good but it certainly isn't a relaxing place to go.,food,positive
2205,The food is usually good but it certainly isn't a relaxing place to go.,place,negative
925,The service was attentive.,service,positive
3637,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",place,positive
3637,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",pizzas,positive
3365,The jukebox plays everything from Italian Opera to The Strokes.,jukebox,positive
605,Wow over 100 beers to choose from.,beers,positive
193,The food is great and reasonably priced.,food,positive
193,The food is great and reasonably priced.,priced,positive
1843,The establishment scores big points in presentation and style.,establishment,positive
1319,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,negative
3636,"We were on our way back to NJ, and since I am in NY, we figured why not grab some food?",food,neutral
1957,Try the cheesecake!,cheesecake,positive
3418,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",Meat dishes,neutral
3418,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",vegetarian-friendly choices,positive
1006,I've been to several places for Dim Sum and this has got to be the WORST.,Dim Sum,negative
2766,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,positive
2766,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",dishes,positive
2766,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",specials,positive
2766,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",regular menu-fare,positive
610,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,shows,positive
610,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,positive
610,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,characters,positive
2240,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,service,positive
2240,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,food,positive
2240,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,hot sauce,positive
2240,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,meals,neutral
2976,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,positive
2976,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,positive
2976,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,positive
2976,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",price,neutral
1856,We were looking forward to nice glass of Sangria when we arrived.,glass of Sangria,positive
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,positive
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",salads,positive
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,positive
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,positive
347,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",roll,negative
347,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",menu,negative
2152,The bagels are fabulous.,bagels,positive
2149,Good food.,food,positive
1372,Service was also horrible and the ambience is not that great.,Service,negative
1372,Service was also horrible and the ambience is not that great.,ambience,negative
2427,"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.",price,negative
2427,"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.",freshness,negative
2427,"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.",value,negative
2427,"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.",quality,negative
1409,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",lunch buffet,neutral
2482,"Especially liked chicken tikka and the naan, and the dals.",chicken tikka,positive
2482,"Especially liked chicken tikka and the naan, and the dals.",naan,positive
2482,"Especially liked chicken tikka and the naan, and the dals.",dals,positive
275,Raga stands out with an interesting fusion of French and Indian cooking.,fusion of French and Indian cooking,positive
2657,"Last memorial day, I tried to make reservations but was told they were closed that weekend (interesting, but...).",reservations,negative
1968,I went to DF for Valentines Day dinner.,Valentines Day dinner,neutral
2969,"Bill a little high, but worth it.",Bill,conflict
1672,The food is awesome - definitely try the striped bass.,food,positive
1672,The food is awesome - definitely try the striped bass.,striped bass,positive
1116,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,zucchini,positive
1116,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,mashed potatoes,positive
1116,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,garlic,positive
1116,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,butter,positive
908,"Orsay, is without a doubt one of the best values for authentic French food in NYC.",French food,positive
1508,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",discount,negative
1508,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",service,negative
818,The place itself is beautiful the bar scene seems to be happening.,place,positive
818,The place itself is beautiful the bar scene seems to be happening.,bar scene,positive
913,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,Traditional French decour,positive
913,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,hall,negative
3662,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,service,positive
3662,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,dish,positive
3662,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,spring rolls,positive
3662,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,cod with pineapple tempura,positive
615,The food was pretty tradional but it was hot and good with large portions.,food,positive
615,The food was pretty tradional but it was hot and good with large portions.,portions,positive
3544,The ambience is very romantic and definitely a good place to bring a date.,ambience,positive
3544,The ambience is very romantic and definitely a good place to bring a date.,place,positive
1459,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",eggplant parmesan,positive
1459,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",baked ziti with meatsauce,positive
1459,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",serves,positive
1435,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",Quality of food,positive
1435,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",price,positive
1435,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",pork,positive
1435,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",fish,positive
1435,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",chicken,positive
1435,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",lamb,positive
1435,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",vegetables,positive
560,The dinner menu is diverse and top-notch as well.,dinner menu,positive
2400,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,exotic salad,positive
2400,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,green salad,positive
2400,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,sweet basil fried tofu,positive
2400,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,peanut sauce,positive
2774,Service is not what one would expect from a joint in this price category.,Service,negative
2774,Service is not what one would expect from a joint in this price category.,price category,negative
2940,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,amuse bouche,positive
2940,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,dessert,positive
2940,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,tables,positive
2940,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,service,positive
1457,"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",primi,positive
1457,"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",secondi,positive
1457,"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",portions,positive
300,My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!,sushi rolls,positive
2158,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,positive
1494,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu,positive
1494,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,positive
1494,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",italian dishes,positive
3383,"Plus, on Wednesday nights the house wine is unlimited!",house wine,positive
1911,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",meal,positive
1911,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",server,positive
1911,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,positive
1911,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,negative
1911,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",price range,positive
1911,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",priced,neutral
1778,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",atmosphere,neutral
3303,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,Lobster Bisque,positive
3303,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,Maine Lobster,positive
2030,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,food suggestions,positive
2030,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,server,positive
2030,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,sommelier,positive
2030,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,fromager,positive
2030,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,wine,neutral
2030,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,cheese,neutral
2102,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",dim sum,conflict
2572,Salads were fantastic.,Salads,positive
3003,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,fish,positive
3003,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,sushi chef,positive
3003,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,wasabi,positive
3003,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,soy sauce,positive
3003,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,sea salt,positive
1140,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",food,positive
445,Much more reasonably priced too!,priced,positive
2124,Staff is very accomodating.,Staff,positive
278,I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.,food,neutral
2502,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",live music,neutral
2502,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",space,negative
2502,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",jazz nights,neutral
2187,The drinks are always welll made and wine selection is fairly priced.,drinks,positive
2187,The drinks are always welll made and wine selection is fairly priced.,wine selection,neutral
2187,The drinks are always welll made and wine selection is fairly priced.,priced,positive
1690,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,negative
1049,Mizu is home to creative and unique rolls not to found anywhere else.,rolls,positive
2228,"Sure, the setting is nice.",setting,positive
488,I would have gotten some cole slaw and a knish if my stomach had more space.,cole slaw,neutral
488,I would have gotten some cole slaw and a knish if my stomach had more space.,knish,neutral
2797,it's the only place you can get yummy authentic japanese comfort food.,japanese comfort food,positive
685,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",neighborhood,positive
685,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food,positive
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive
1302,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative
1302,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative
1302,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,food,negative
1302,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,service,negative
204,"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",table,negative
204,"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",atomosphere,positive
204,"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",room,negative
204,"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",spot,negative
3302,The staff offers impeccable service.,staff,positive
3302,The staff offers impeccable service.,service,positive
2195,The service is not consistently excellent -- just decent.,service,neutral
2906,instead ordered an ice cold beer which to me works with indian.,beer,positive
2337,Dahkin also offers prix fixe lunch and buffet.,prix fixe lunch,positive
2337,Dahkin also offers prix fixe lunch and buffet.,buffet,positive
878,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",meal,positive
878,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",pre-theater prix-fixe,positive
2571,"Ambience is so cute and quaint, good for business although we were there on vacation.",Ambience,positive
2396,All the NYU students love this place so it makes for a fun young atmosphere.,atmosphere,positive
1739,Always great service!,service,positive
3120,"The food is good, I can't lie.",food,positive
3379,"If you live in Upper Manhattan, Siam Square is THE place for Thia food.",Thia food,positive
1857,The space is nice but when we order our drink we were in for a surprise.,space,positive
1857,The space is nice but when we order our drink we were in for a surprise.,drink,negative
3017,"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!",glass of wine,neutral
3017,"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!",glass of beer,neutral
3017,"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!",dinner,neutral
3580,"I would recommend Roxy's for that, but not for their food.",food,negative
2390,We saw them heating up at least one frozen item though I'm not sure which dim sum dish it was.,dim sum dish,negative
2261,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,positive
2261,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",Purple Haze,conflict
1061,Service is fast and friendly.,Service,positive
557,The service does sometimes lack focus and it is not ideal if you are in a hurry but I have never been treated rudely.,service,conflict
2911,"Great food, good size menu, great service and an unpretensious setting.",food,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",menu,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",service,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",setting,positive
964,"The wait staff is very friendly, if not overly efficient.",wait staff,positive
1196,The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,service,negative
1196,The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,table,negative
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral
3443,service was efficient courteous.,service,positive
1666,Food was good not great not worth the wait or another visit,Food,conflict
1666,Food was good not great not worth the wait or another visit,wait,negative
1343,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",Fluke sashimi,positive
1343,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",jalapeno-lime olive oil,positive
1343,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",fruit of the oil,positive
1343,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",fish,positive
567,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,neutral
567,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative
567,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative
2267,"Good, dark atmosphere and the music is a nice touch.",atmosphere,positive
2267,"Good, dark atmosphere and the music is a nice touch.",music,positive
1632,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",bill,conflict
1632,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,positive
1430,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",food,neutral
1430,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",value,neutral
3493,"Ambience is delightful, service impeccable.",Ambience,positive
3493,"Ambience is delightful, service impeccable.",service,positive
2693,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,meatballs,positive
2693,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,caprese salad,positive
2693,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,beans on toast,positive
2693,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,meal,neutral
218,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",caviar,positive
218,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",waitstaff,positive
267,The bar is very well stocked with interesting beers and well priced wines.,bar,positive
267,The bar is very well stocked with interesting beers and well priced wines.,beers,positive
267,The bar is very well stocked with interesting beers and well priced wines.,wines,positive
267,The bar is very well stocked with interesting beers and well priced wines.,priced,positive
2667,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",Halibut,negative
2667,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",dessert,neutral
2667,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",service,negative
1480,Joe's Pizza used to have the best slice until this pizzeria opened up.,slice,positive
